N,TimeConsumed(μs),MemoryUsed(KB)
3469,2383,3648
3470,2394,3648
3471,2382,3648
3472,2378,3648
3473,2382,3648
3474,2377,3648
3475,2399,3648
3476,2432,3648
3477,2462,3648
3478,2398,3648
3479,2390,3648
3480,2406,3648
3481,2420,3648
3482,2407,3648
3483,2426,3648
3484,2495,3648
3485,2423,3648
3486,2390,3648
3487,2393,3648
3488,2393,3648
3489,2394,3648
3490,2413,3648
3491,2410,3648
3492,2404,3648
3493,2398,3648
3494,2392,3648
3495,2399,3648
3496,2411,3648
3497,2401,3648
3498,2433,3648
3499,2426,3648
3500,2425,3648
3501,2422,3648
3502,2408,3648
3503,2408,3648
3504,2414,3664
3505,2401,3664
3506,2411,3664
3507,2411,3664
3508,2403,3664
3509,2411,3664
3510,2414,3664
3511,2408,3664
3512,2415,3664
3513,2427,3664
3514,2419,3664
3515,2444,3664
3516,2449,3664
3517,2449,3664
3518,2519,3664
3519,2436,3664
3520,2420,3664
3521,2433,3664
3522,2428,3664
3523,2444,3664
3524,2421,3664
3525,2421,3664
3526,2424,3664
3527,2445,3664
3528,2425,3664
3529,2426,3664
3530,2424,3664
3531,2435,3664
3532,2478,3664
3533,2512,3664
3534,2483,3664
3535,2554,3664
3536,2434,3664
3537,2433,3664
3538,2441,3664
3539,2444,3664
3540,2434,3664
3541,2429,3664
3542,2437,3664
3543,2448,3664
3544,2456,3664
3545,2436,3664
3546,2438,3664
3547,2446,3664
3548,2441,3664
3549,2479,3664
3550,2481,3664
3551,2502,3664
3552,2532,3664
3553,2447,3664
3554,2448,3664
3555,2452,3664
3556,2447,3664
3557,2465,3664
3558,2445,3664
3559,2453,3664
3560,2456,3664
3561,2448,3664
3562,2450,3664
3563,2455,3664
3564,2454,3664
3565,2446,3664
3566,2483,3664
3567,2505,3664
3568,2492,3664
3569,2645,3664
3570,2475,3664
3571,2583,3664
3572,2497,3680
3573,2466,3680
3574,2469,3680
3575,2469,3680
3576,2458,3680
3577,2466,3680
3578,2480,3680
3579,2463,3680
3580,2475,3680
3581,2467,3680
3582,2478,3680
3583,2503,3680
3584,2510,3680
3585,2502,3680
3586,2641,3680
3587,2488,3680
3588,2496,3680
3589,2472,3680
3590,2596,3680
3591,2521,3680
3592,2585,3680
3593,2506,3680
3594,2606,3680
3595,2531,3680
3596,2498,3680
3597,2617,3680
3598,2619,3680
3599,2626,3680
3600,2659,3680
3601,2506,3680
3602,2553,3680
3603,2577,3680
3604,2554,3680
3605,2497,3680
3606,2503,3680
3607,2642,3680
3608,2561,3680
3609,2547,3680
3610,2551,3680
3611,2515,3696
3612,2499,3696
3613,2492,3696
3614,2583,3696
3615,2619,3712
3616,2676,3712
3617,2617,3712
3618,2548,3712
3619,2524,3712
3620,2718,3712
3621,2620,3728
3622,2507,3728
3623,2548,3728
3624,2638,3728
3625,2557,3728
3626,2720,3728
3627,2548,3728
3628,2608,3728
3629,2517,3728
3630,2522,3728
3631,2504,3728
3632,2518,3728
3633,2552,3728
3634,2555,3728
3635,2532,3728
3636,2585,3728
3637,2506,3728
3638,2508,3728
3639,2511,3728
3640,2577,3728
3641,2554,3728
3642,2544,3728
3643,2608,3728
3644,2503,3728
3645,2515,3728
3646,2545,3728
3647,2542,3728
3648,2540,3728
3649,2546,3728
3650,2522,3728
3651,2536,3728
3652,2564,3728
3653,2557,3728
3654,2612,3728
3655,2529,3728
3656,2520,3728
3657,2560,3728
3658,2541,3728
3659,2622,3728
3660,2592,3728
3661,2792,3728
3662,2673,3728
3663,2700,3728
3664,2864,3728
3665,2894,3728
3666,2640,3728
3667,2634,3728
3668,2568,3728
3669,2539,3728
3670,2539,3728
3671,2543,3728
3672,2713,3728
3673,2667,3728
3674,2661,3728
3675,2670,3728
3676,2659,3728
3677,2656,3728
3678,2665,3728
3679,2709,3728
3680,2561,3728
3681,2554,3728
3682,2550,3728
3683,2624,3728
3684,2688,3728
3685,2700,3728
3686,2670,3728
3687,2570,3728
3688,2611,3728
3689,2581,3728
3690,2625,3728
3691,2583,3728
3692,2592,3728
3693,2640,3728
3694,2622,3728
3695,2620,3728
3696,2660,3728
3697,2622,3728
3698,2632,3728
3699,2632,3728
3700,2621,3728
3701,2640,3728
3702,2625,3728
3703,2638,3728
3704,2775,3728
3705,2658,3728
3706,2655,3728
3707,2588,3728
3708,2697,3728
3709,2592,3728
3710,2563,3728
3711,2567,3728
3712,2579,3728
3713,2575,3728
3714,2566,3728
3715,2566,3728
3716,2573,3728
3717,2575,3728
3718,2575,3728
3719,2587,3728
3720,2693,3728
3721,2640,3728
3722,2687,3728
3723,2596,3728
3724,2577,3728
3725,2574,3728
3726,2603,3728
3727,2605,3728
3728,2627,3728
3729,2584,3728
3730,2617,3728
3731,2596,3728
3732,2576,3728
3733,2574,3728
3734,2605,3728
3735,2762,3744
3736,2740,3744
3737,2785,3744
3738,2735,3744
3739,2707,3744
3740,2701,3744
3741,2717,3744
3742,2718,3744
3743,2707,3744
3744,2710,3744
3745,2756,3744
3746,2812,3744
3747,2782,3744
3748,2712,3760
3749,2597,3760
3750,2596,3760
3751,2642,3760
3752,2629,3760
3753,2646,3760
3754,2645,3760
3755,2590,3760
3756,2597,3760
3757,2610,3760
3758,2602,3760
3759,2608,3760
3760,2596,3760
3761,2627,3760
3762,2608,3760
3763,2600,3760
3764,2619,3760
3765,2608,3760
3766,2674,3760
3767,2647,3760
3768,2666,3760
3769,2721,3760
3770,2631,3760
3771,2603,3760
3772,2615,3760
3773,2675,3760
3774,2617,3760
3775,2617,3760
3776,2629,3760
3777,2717,3760
3778,2658,3776
3779,2617,3776
3780,2617,3776
3781,2645,3776
3782,2678,3776
3783,2669,3776
3784,2676,3776
3785,2722,3776
3786,2619,3776
3787,2650,3776
3788,2630,3776
3789,2619,3776
3790,2629,3776
3791,2624,3776
3792,2626,3776
3793,2711,3776
3794,2705,3776
3795,2734,3776
3796,2709,3776
3797,2631,3776
3798,2671,3776
3799,2674,3776
3800,2675,3776
3801,2719,3776
3802,2647,3776
3803,2634,3776
3804,2646,3776
3805,2674,3776
3806,2651,3776
3807,2685,3776
3808,2637,3776
3809,2647,3776
3810,2638,3776
3811,2654,3776
3812,2659,3776
3813,2659,3776
3814,2721,3776
3815,2682,3776
3816,2743,3776
3817,2652,3776
3818,2658,3776
3819,2662,3776
3820,2659,3776
3821,2685,3776
3822,2655,3776
3823,2663,3776
3824,2712,3776
3825,2654,3776
3826,2645,3776
3827,2653,3776
3828,2654,3776
3829,2698,3776
3830,2695,3776
3831,2686,3776
3832,2745,3776
3833,2673,3776
3834,2670,3776
3835,2669,3776
3836,2662,3776
3837,2663,3776
3838,2657,3776
3839,2662,3776
3840,2652,3776
3841,2664,3776
3842,2660,3776
3843,2744,3776
3844,2745,3776
3845,2801,3776
3846,2799,3776
3847,2855,3776
3848,2778,3776
3849,2755,3776
3850,2751,3776
3851,2740,3776
3852,2745,3776
3853,2759,3776
3854,2748,3776
3855,2749,3776
3856,2760,3776
3857,2743,3776
3858,2747,3776
3859,2755,3776
3860,2817,3776
3861,2813,3776
3862,2850,3776
3863,2779,3776
3864,2762,3776
3865,2760,3776
3866,2810,3776
3867,2701,3776
3868,2678,3776
3869,2682,3776
3870,2693,3776
3871,2717,3776
3872,2698,3776
3873,2702,3776
3874,2686,3776
3875,2751,3776
3876,2751,3776
3877,2742,3776
3878,2776,3776
3879,2732,3776
3880,2715,3776
3881,2693,3776
3882,2694,3776
3883,2709,3776
3884,2700,3776
3885,2711,3776
3886,2695,3776
3887,2694,3776
3888,2788,3776
3889,2696,3776
3890,2720,3776
3891,2753,3776
3892,2728,3776
3893,2792,3776
3894,2703,3776
3895,2716,3776
3896,2698,3776
3897,2709,3776
3898,2708,3776
3899,2714,3776
3900,2727,3776
3901,2789,3776
3902,2786,3776
3903,2787,3776
3904,2783,3776
3905,2790,3776
3906,2840,3776
3907,2831,3776
3908,2869,3776
3909,2795,3776
3910,2800,3776
3911,2797,3776
3912,2820,3776
3913,2801,3776
3914,2782,3776
3915,2812,3776
3916,2810,3776
3917,2791,3776
3918,2797,3776
3919,2803,3776
3920,2838,3776
3921,2844,3776
3922,2824,3776
3923,2894,3776
3924,2813,3776
3925,2828,3776
3926,2811,3776
3927,2826,3776
3928,2853,3776
3929,2803,3776
3930,2817,3776
3931,2849,3776
3932,2820,3776
3933,2826,3776
3934,2812,3776
3935,2849,3776
3936,2833,3776
3937,2860,3776
3938,2813,3776
3939,2845,3776
3940,2833,3776
3941,2816,3776
3942,2853,3776
3943,2849,3776
3944,2829,3776
3945,2894,3776
3946,2865,3776
3947,3026,3776
3948,2970,3776
3949,2909,3776
3950,3016,3776
3951,3006,3776
3952,2988,3776
3953,3033,3776
3954,2937,3776
3955,2990,3776
3956,2925,3776
3957,3006,3776
3958,3015,3776
3959,2987,3776
3960,2801,3792
3961,2791,3792
3962,2901,3792
3963,3023,3792
3964,3026,3792
3965,2969,3792
3966,2894,3792
3967,2896,3792
3968,3014,3792
3969,2839,3840
3970,2813,3840
3971,2776,3840
3972,3045,3840
3973,2913,3840
3974,2858,3840
3975,2917,3840
3976,2836,3872
3977,2881,3872
3978,2937,3872
3979,2949,3888
3980,2899,3888
3981,3021,3888
3982,3031,3888
3983,3091,3888
3984,2795,3888
3985,2968,3888
3986,3061,3888
3987,2912,3888
3988,2820,3888
3989,3092,3888
3990,2813,3888
3991,2866,3888
3992,3112,3888
3993,3015,3904
3994,3080,3904
3995,2918,3904
3996,3008,3904
3997,3177,3904
3998,2944,3904
3999,3075,3904
4000,3153,3904
4001,2897,3904
4002,3270,3904
4003,3132,3904
4004,3064,3904
4005,3149,3904
4006,3054,3904
4007,2933,3904
4008,2902,3904
4009,3164,3920
4010,2880,3920
4011,2792,3920
4012,2874,3920
4013,2890,3920
4014,2812,3920
4015,2873,3920
4016,2981,3920
4017,2872,3920
4018,2799,3920
4019,3018,3920
4020,2882,3936
4021,3067,3936
4022,3079,3936
4023,2954,3936
4024,2953,3936
4025,3007,3936
4026,3048,3936
4027,3190,3936
4028,3049,3936
4029,3116,3936
4030,3034,3936
4031,3101,3936
4032,3080,3936
4033,3018,3936
4034,3000,3936
4035,3053,3936
4036,3081,3936
4037,3099,3936
4038,3007,3936
4039,3088,3936
4040,3018,3936
4041,2960,3936
4042,3051,3936
4043,3113,3936
4044,2967,3936
4045,2993,3936
4046,3125,3936
4047,2909,3936
4048,2917,3936
4049,2960,3936
4050,2958,3936
4051,2980,3936
4052,3022,3936
4053,3023,3936
4054,2983,3936
4055,3006,3936
4056,3008,3936
4057,2977,3936
4058,2889,3936
4059,2962,3936
4060,3031,3936
4061,3001,3936
4062,3027,3936
4063,2870,3936
4064,2865,3936
4065,3031,3936
4066,3095,3936
4067,3050,3936
4068,2989,3936
4069,3098,3936
4070,3103,3936
4071,2927,3936
4072,3033,3936
4073,3017,3936
4074,3208,3936
4075,3215,3936
4076,3102,3936
4077,3035,3936
4078,3413,3936
4079,3105,3936
4080,3008,3936
4081,3125,3936
4082,3187,3936
4083,3242,3936
4084,3072,3936
4085,3111,3936
4086,2976,3936
4087,2967,3936
4088,3035,3936
4089,2996,3936
4090,2957,3936
4091,3054,3936
4092,3096,3936
4093,3049,3936
4094,3168,3936
4095,2977,3936
4096,2885,3936
4097,2948,3936
4098,3029,3936
4099,3103,3936
4100,3044,3936
4101,3027,3936
4102,3012,3936
4103,2951,3936
4104,2888,3936
4105,3187,3936
4106,3130,3936
4107,3088,3936
4108,3213,3936
4109,3012,3936
4110,2876,3936
4111,3019,3936
4112,3118,3936
4113,3148,3936
4114,3231,3936
4115,3225,3936
4116,2940,3936
4117,2876,3936
4118,3110,3936
4119,3051,3936
4120,2964,3936
4121,3000,3936
4122,3050,3936
4123,2989,3936
4124,2984,3936
4125,3188,3936
4126,2923,3936
4127,3046,3936
4128,3078,3936
4129,3136,3936
4130,2933,3936
4131,2912,3936
4132,2988,3936
4133,3087,3936
4134,3009,3936
4135,3002,3936
4136,2975,3936
4137,3041,3936
4138,3080,3936
4139,3145,3936
4140,2918,3936
4141,3020,3936
4142,3052,3936
4143,2978,3936
4144,2905,3936
4145,3033,3936
4146,3419,3936
4147,2978,3936
4148,3020,3936
4149,3391,3936
4150,3103,3936
4151,2899,3936
4152,2970,3936
4153,3186,3936
4154,3106,3936
4155,3121,3936
4156,3188,3936
4157,3061,3936
4158,3085,3936
4159,3068,3936
4160,3119,3936
4161,3267,3936
4162,3062,3936
4163,2951,3936
4164,2915,3936
4165,2971,3936
4166,3172,3936
4167,3042,3936
4168,3203,3936
4169,3145,3936
4170,3208,3936
4171,3073,3936
4172,3064,3936
4173,3084,3936
4174,3086,3936
4175,3072,3936
4176,3139,3936
4177,3203,3936
4178,3069,3936
4179,3048,3936
4180,3008,3936
4181,3073,3936
4182,3045,3936
4183,3104,3936
4184,3079,3936
4185,3009,3936
4186,3058,3936
4187,3044,3936
4188,3028,3936
4189,3046,3936
4190,3016,3936
4191,3034,3936
4192,3055,3936
4193,3033,3936
4194,3023,3936
4195,3086,3936
4196,3168,3936
4197,3125,3936
4198,2949,3936
4199,3004,3936
4200,2972,3936
4201,2989,3936
4202,2965,3936
4203,3247,3936
4204,3444,3936
4205,3084,3936
4206,3231,3936
4207,3003,3936
4208,3030,3936
4209,3080,3936
4210,2965,3936
4211,3377,3936
4212,3181,3936
4213,3225,3936
4214,3256,3936
4215,3051,3936
4216,3270,3936
4217,3180,3936
4218,3015,3936
4219,3096,3936
4220,3018,3936
4221,2983,3936
4222,3478,3936
4223,3032,3936
4224,2988,3936
4225,3230,3936
4226,3213,3936
4227,3032,3936
4228,3090,3936
4229,3030,3936
4230,3022,3936
4231,3211,3936
4232,3084,3936
4233,3031,3936
4234,3136,3936
4235,3274,3936
4236,3033,3936
4237,3139,3936
4238,3204,3936
4239,3315,3936
4240,3239,3936
4241,3224,3936
4242,3121,3936
4243,3127,3936
4244,3113,3936
4245,3200,3936
4246,3036,3936
4247,3068,3936
4248,3185,3936
4249,3052,3936
4250,3063,3936
4251,3099,3936
4252,3072,3936
4253,3159,3936
4254,3107,3936
4255,3080,3936
4256,3173,3936
4257,3122,3936
4258,3244,3936
4259,3086,3936
4260,3062,3936
4261,3178,3936
4262,3010,3936
4263,3032,3936
4264,3205,3936
4265,3048,3936
4266,3090,3936
4267,3183,3936
4268,3091,3936
4269,3193,3936
4270,3069,3936
4271,3144,3936
4272,3331,3936
4273,3135,3936
4274,3186,3936
4275,3146,3936
4276,3024,3936
4277,3189,3936
4278,3040,3936
4279,3050,3936
4280,3348,3936
4281,3039,3936
4282,3121,3936
4283,3172,3936
4284,3101,3936
4285,3249,3936
4286,3117,3936
4287,3183,3936
4288,3338,3936
4289,3202,3936
4290,3221,3936
4291,3104,3936
4292,3099,3936
4293,3353,3936
4294,3065,3936
4295,3294,3936
4296,3099,3936
4297,3031,3936
4298,3183,3936
4299,3174,3936
4300,3123,3936
4301,3254,3936
4302,3114,3936
4303,3322,3936
4304,3125,3936
4305,3174,3936
4306,3159,3936
4307,3083,3936
4308,3164,3936
4309,3121,3936
4310,3032,3936
4311,3187,3936
4312,3159,3936
4313,3069,3936
4314,3313,3936
4315,3154,3936
4316,3180,3936
4317,3108,3936
4318,3127,3936
4319,3155,3936
4320,3101,3936
4321,3231,3936
4322,3211,3936
4323,3127,3936
4324,3391,3936
4325,3140,3936
4326,3056,3936
4327,3185,3936
4328,3278,3936
4329,3128,3936
4330,3336,3936
4331,3440,3936
4332,3198,3936
4333,3187,3936
4334,3259,3936
4335,3140,3936
4336,3103,3936
4337,3404,3936
4338,3135,3936
4339,3093,3936
4340,3320,3936
4341,3100,3936
4342,7096,3936
4343,3121,3936
4344,3173,3936
4345,3176,3936
4346,3342,3936
4347,3130,3936
4348,3125,3936
4349,3193,3936
4350,3206,3936
4351,3127,3936
4352,3214,3936
4353,3159,3936
4354,3109,3936
4355,3101,3936
4356,3100,3936
4357,3198,3936
4358,3233,3936
4359,3109,3936
4360,3087,3936
4361,3081,3936
4362,3163,3936
4363,3117,3936
4364,3232,3936
4365,3089,3936
4366,3091,3936
4367,3082,3936
4368,3117,3936
4369,3078,3936
4370,3154,3936
4371,3165,3936
4372,3145,3936
4373,3155,3936
4374,3086,3936
4375,3086,3936
4376,3160,3936
4377,3205,3936
4378,3115,3936
4379,3082,3936
4380,3088,3936
4381,3118,3936
4382,3093,3936
4383,3231,3936
4384,3356,3936
4385,3335,3936
4386,3422,3936
4387,3194,3936
4388,3151,3936
4389,3153,3936
4390,3282,3936
4391,3129,3936
4392,3098,3936
4393,3106,3936
4394,3144,3936
4395,3105,3936
4396,3109,3936
4397,3133,3936
4398,3120,3936
4399,3111,3936
4400,3222,3936
4401,3236,3936
4402,3198,3936
4403,3267,3936
4404,3105,3936
4405,3123,3936
4406,3117,3936
4407,3228,3936
4408,3123,3936
4409,3120,3936
4410,3166,3936
4411,3112,3936
4412,3151,3936
4413,3149,3936
4414,3128,3936
4415,3255,3936
4416,3223,3936
4417,3225,3936
4418,3155,3936
4419,3380,3936
4420,3178,3936
4421,3129,3936
4422,3188,3936
4423,3138,3936
4424,3148,3936
4425,3178,3936
4426,3117,3936
4427,3214,3936
4428,3289,3936
4429,3298,3936
4430,3262,3936
4431,3355,3936
4432,3277,3936
4433,3252,3936
4434,3261,3936
4435,3256,3936
4436,3269,3936
4437,3292,3936
4438,3504,3936
4439,3186,3936
4440,3253,3936
4441,3613,3936
4442,3195,3936
4443,3415,3936
4444,3245,3952
4445,3185,3952
4446,3298,3952
4447,3241,3952
4448,3209,3952
4449,3383,3952
4450,3202,3968
4451,3381,3968
4452,3252,3968
4453,3482,3968
4454,3205,3968
4455,3246,3968
4456,3339,3968
4457,3201,3968
4458,3393,3968
4459,3231,3968
4460,3187,3968
4461,3421,3968
4462,3341,3968
4463,3234,3968
4464,3233,3968
4465,3553,3968
4466,3347,3968
4467,3368,3968
4468,3311,3984
4469,3262,3984
4470,3225,3984
4471,3415,3984
4472,3205,3984
4473,3177,3984
4474,3560,3984
4475,3179,3984
4476,3286,3984
4477,3273,3984
4478,3262,3984
4479,3366,3984
4480,3496,3984
4481,3333,3984
4482,3209,3984
4483,3364,3984
4484,3487,3984
4485,3197,3984
4486,3472,3984
4487,3297,3984
4488,3240,3984
4489,3500,3984
4490,3244,3984
4491,3337,3984
4492,3354,3984
4493,3272,3984
4494,3258,3984
4495,3258,3984
4496,3412,3984
4497,3279,3984
4498,3339,3984
4499,3413,3984
4500,3274,3984
4501,3478,3984
4502,3445,3984
4503,3277,3984
4504,3356,3984
4505,3270,3984
4506,3226,3984
4507,3409,3984
4508,3249,3984
4509,3241,3984
4510,3365,3984
4511,3225,3984
4512,3338,3984
4513,3287,3984
4514,3415,3984
4515,3346,3984
4516,3497,3984
4517,3279,3984
4518,3259,3984
4519,3305,3984
4520,3294,3984
4521,3272,3984
4522,3388,3984
4523,3293,3984
4524,3257,3984
4525,3397,3984
4526,3268,3984
4527,3244,3984
4528,3345,3984
4529,3251,3984
4530,3459,3984
4531,3308,3984
4532,3600,3984
4533,3415,3984
4534,3304,3984
4535,3270,3984
4536,3275,3984
4537,3525,3984
4538,3277,3984
4539,3574,3984
4540,3367,3984
4541,3295,3984
4542,3315,3984
4543,3480,3984
4544,3437,3984
4545,3328,3984
4546,3288,3984
4547,3374,3984
4548,3300,3984
4549,3528,3984
4550,3342,3984
4551,3333,3984
4552,3519,3984
4553,3292,3984
4554,3290,3984
4555,3369,3984
4556,3375,3984
4557,3451,3984
4558,3372,3984
4559,3334,3984
4560,3332,3984
4561,3375,3984
4562,3363,3984
4563,3315,3984
4564,3381,3984
4565,3361,3984
4566,3301,3984
4567,3442,3984
4568,3251,3984
4569,3460,3984
4570,3364,3984
4571,3297,3984
4572,3410,4000
4573,3290,4000
4574,3342,4000
4575,3274,4000
4576,3336,4000
4577,3392,4000
4578,3293,4000
4579,3305,4000
4580,3632,4000
4581,3322,4000
4582,3345,4000
4583,3364,4000
4584,3379,4000
4585,3312,4000
4586,3346,4000
4587,3286,4000
4588,3345,4000
4589,3335,4000
4590,3268,4000
4591,3386,4000
4592,3304,4000
4593,3297,4000
4594,3340,4000
4595,3302,4000
4596,3382,4000
4597,3384,4000
4598,3305,4000
4599,3432,4000
4600,3392,4000
4601,3342,4000
4602,3279,4000
4603,3336,4000
4604,3330,4000
4605,3278,4000
4606,3341,4000
4607,3271,4000
4608,3339,4000
4609,3267,4000
4610,3293,4000
4611,3304,4000
4612,3330,4000
4613,3386,4000
4614,3326,4000
4615,3359,4000
4616,3298,4000
4617,3291,4000
4618,3311,4000
4619,3284,4000
4620,3406,4000
4621,3315,4000
4622,3297,4000
4623,3361,4000
4624,3332,4000
4625,3393,4000
4626,3502,4000
4627,3380,4000
4628,3278,4000
4629,3523,4000
4630,3436,4000
4631,3308,4000
4632,3671,4000
4633,3325,4000
4634,3366,4000
4635,3435,4000
4636,3476,4000
4637,3436,4000
4638,3377,4000
4639,3650,4000
4640,3357,4000
4641,3639,4000
4642,3365,4000
4643,3296,4000
4644,3480,4000
4645,3318,4000
4646,3361,4000
4647,3465,4000
4648,3318,4000
4649,3435,4000
4650,3529,4000
4651,3481,4000
4652,3376,4000
4653,3468,4000
4654,3466,4000
4655,3445,4000
4656,3458,4000
4657,3360,4000
4658,3473,4000
4659,3476,4000
4660,3388,4000
4661,3530,4000
4662,3325,4000
4663,3516,4000
4664,3548,4000
4665,3462,4016
4666,3468,4016
4667,3561,4016
4668,3395,4032
4669,3355,4032
4670,3472,4032
4671,3517,4032
4672,3398,4032
4673,3364,4048
4674,3549,4048
4675,3574,4048
4676,3443,4064
4677,3543,4064
4678,3407,4064
4679,3344,4064
4680,3517,4064
4681,3570,4064
4682,3499,4064
4683,3448,4064
4684,3397,4064
4685,3608,4064
4686,3467,4064
4687,3356,4064
4688,3512,4064
4689,3539,4080
4690,3472,4080
4691,3514,4080
4692,3499,4080
4693,3411,4080
4694,3626,4096
4695,3509,4096
4696,3504,4096
4697,3595,4096
4698,10360,4096
4699,12252,4208
4700,12329,4208
4701,12999,4256
4702,3528,4256
4703,5681,4256
4704,4971,4256
4705,3682,4256
4706,3511,4256
4707,3438,4256
4708,3584,4256
4709,3484,4256
4710,3655,4256
4711,3452,4256
4712,3602,4256
4713,3486,4256
4714,3396,4256
4715,3540,4256
4716,3411,4256
4717,3466,4256
4718,3560,4256
4719,3471,4272
4720,3513,4272
4721,3588,4272
4722,3495,4272
4723,3520,4272
4724,3601,4272
4725,3429,4272
4726,3453,4272
4727,3562,4272
4728,3409,4272
4729,3418,4272
4730,3467,4272
4731,3544,4272
4732,3448,4272
4733,3437,4272
4734,3622,4272
4735,3569,4272
4736,3513,4272
4737,3572,4272
4738,3646,4272
4739,3509,4272
4740,3540,4272
4741,3524,4272
4742,3420,4272
4743,3601,4272
4744,3472,4272
4745,3438,4272
4746,3542,4272
4747,3449,4288
4748,3527,4288
4749,3509,4288
4750,3584,4288
4751,3419,4288
4752,3437,4288
4753,3486,4288
4754,3425,4288
4755,3666,4288
4756,3491,4288
4757,3486,4288
4758,3457,4288
4759,3650,4288
4760,3478,4288
4761,3452,4288
4762,3612,4288
4763,3461,4288
4764,3436,4288
4765,3640,4288
4766,3523,4288
4767,3573,4288
4768,3549,4288
4769,3640,4288
4770,3557,4288
4771,3500,4288
4772,3591,4288
4773,3538,4288
4774,3553,4288
4775,3504,4288
4776,3610,4288
4777,3605,4288
4778,3460,4288
4779,3678,4288
4780,3505,4288
4781,3573,4288
4782,3604,4288
4783,3509,4288
4784,3637,4288
4785,3708,4288
4786,3564,4288
4787,3643,4288
4788,3789,4288
4789,3564,4288
4790,3645,4288
4791,3547,4288
4792,3458,4288
4793,3723,4288
4794,3506,4288
4795,3607,4288
4796,3546,4288
4797,3586,4288
4798,3745,4288
4799,3829,4288
4800,3589,4288
4801,3535,4288
4802,3676,4288
4803,3484,4288
4804,3817,4288
4805,3507,4288
4806,3505,4288
4807,3680,4288
4808,3499,4288
4809,3577,4288
4810,3526,4288
4811,3570,4288
4812,3578,4288
4813,3670,4288
4814,3711,4288
4815,3663,4288
4816,3639,4288
4817,3486,4288
4818,3593,4288
4819,3524,4288
4820,3447,4288
4821,3732,4288
4822,3507,4288
4823,3853,4288
4824,3552,4288
4825,3644,4288
4826,3559,4288
4827,3630,4288
4828,3570,4288
4829,3593,4288
4830,3659,4288
4831,3508,4288
4832,3703,4288
4833,3521,4288
4834,3605,4288
4835,3590,4288
4836,3480,4288
4837,3679,4288
4838,3565,4288
4839,3728,4288
4840,3685,4288
4841,3826,4288
4842,3515,4288
4843,3793,4288
4844,3533,4288
4845,3502,4288
4846,3648,4288
4847,3548,4288
4848,3641,4288
4849,3572,4288
4850,3561,4288
4851,3634,4288
4852,3501,4288
4853,3674,4288
4854,3609,4288
4855,3636,4288
4856,3572,4288
4857,3664,4288
4858,3536,4288
4859,3551,4288
4860,3675,4288
4861,3553,4288
4862,3509,4288
4863,3494,4288
4864,3610,4288
4865,3568,4288
4866,3618,4288
4867,3543,4288
4868,3500,4288
4869,3510,4288
4870,3595,4288
4871,3750,4288
4872,3518,4288
4873,3491,4288
4874,3675,4288
4875,3537,4288
4876,3513,4288
4877,3589,4288
4878,3715,4288
4879,3551,4288
4880,3529,4288
4881,3541,4288
4882,3558,4288
4883,3496,4288
4884,3542,4288
4885,3528,4288
4886,3510,4288
4887,3516,4288
4888,3514,4288
4889,3559,4288
4890,3559,4288
4891,3534,4288
4892,3530,4288
4893,3506,4288
4894,3572,4288
4895,3512,4288
4896,3598,4288
4897,3516,4304
4898,3548,4304
4899,3512,4320
4900,3499,4320
4901,3519,4320
4902,3513,4320
4903,3534,4320
4904,3528,4320
4905,3641,4320
4906,3699,4320
4907,3635,4320
4908,3509,4320
4909,3536,4320
4910,3515,4320
4911,3530,4320
4912,3520,4320
4913,3583,4320
4914,3527,4320
4915,3569,4320
4916,3545,4320
4917,3522,4320
4918,3558,4320
4919,3529,4320
4920,3517,4320
4921,3553,4320
4922,3533,4320
4923,3540,4320
4924,3551,4320
4925,3536,4320
4926,3549,4320
4927,3534,4320
4928,3582,4320
4929,3615,4320
4930,3534,4320
4931,3586,4320
4932,3529,4320
4933,3595,4320
4934,3533,4320
4935,3560,4320
4936,3611,4320
4937,3532,4320
4938,3697,4320
4939,3567,4336
4940,3560,4336
4941,3722,4336
4942,3610,4352
4943,3560,4352
4944,3554,4352
4945,3587,4352
4946,3555,4352
4947,3570,4352
4948,3738,4352
4949,3590,4352
4950,3555,4352
4951,3783,4352
4952,3708,4352
4953,3649,4352
4954,3793,4352
4955,3552,4352
4956,3660,4352
4957,3591,4352
4958,3933,4352
4959,3759,4352
4960,3684,4352
4961,3692,4368
4962,3685,4368
4963,3929,4368
4964,3670,4368
4965,3714,4368
4966,3617,4368
4967,3746,4368
4968,3602,4368
4969,3825,4368
4970,3926,4368
4971,3749,4368
4972,3759,4368
4973,3964,4368
4974,3773,4368
4975,3759,4368
4976,3806,4368
4977,3726,4368
4978,3896,4368
4979,3629,4384
4980,3644,4384
4981,3767,4384
4982,3600,4384
4983,3768,4384
4984,3892,4384
4985,4520,4384
4986,3993,4384
4987,4381,4384
4988,3719,4384
4989,3898,4384
4990,3649,4384
4991,3780,4384
4992,3596,4384
4993,3739,4384
4994,3739,4384
4995,3664,4384
4996,3826,4384
4997,3679,4384
4998,3920,4384
4999,3649,4384
5000,3851,4384
5001,3751,4384
5002,4068,4384
5003,3659,4384
5004,3863,4384
5005,3628,4384
5006,3829,4384
5007,3689,4384
5008,3693,4384
5009,3759,4384
5010,3626,4384
5011,3857,4384
5012,3641,4384
5013,3759,4384
5014,3791,4384
5015,3961,4384
5016,3709,4384
5017,3718,4384
5018,3867,4384
5019,3789,4384
5020,3759,4384
