N,TimeConsumed(μs),MemoryUsed(KB)
397,263,1600
398,263,1600
399,268,1600
400,276,1600
401,283,1600
402,273,1600
403,289,1600
404,270,1600
405,266,1600
406,258,1600
407,259,1600
408,264,1600
409,255,1600
410,256,1600
411,257,1600
412,258,1600
413,261,1600
414,262,1600
415,269,1600
416,266,1600
417,264,1600
418,283,1600
419,271,1616
420,269,1616
421,265,1616
422,267,1616
423,265,1616
424,267,1616
425,268,1616
426,267,1616
427,270,1616
428,273,1616
429,269,1616
430,277,1616
431,278,1616
432,270,1616
433,273,1616
434,274,1616
435,267,1616
436,270,1616
437,269,1616
438,262,1616
439,265,1616
440,266,1616
441,268,1616
442,270,1616
443,272,1616
444,272,1616
445,270,1616
446,275,1616
447,270,1616
448,269,1616
449,298,1616
450,282,1616
451,286,1616
452,274,1616
453,284,1616
454,276,1616
455,296,1616
456,278,1616
457,279,1616
458,293,1616
459,281,1616
460,285,1616
461,294,1616
462,316,1616
463,296,1616
464,301,1616
465,288,1616
466,288,1616
467,283,1616
468,286,1616
469,288,1616
470,291,1616
471,288,1616
472,286,1616
473,290,1616
474,300,1616
475,289,1616
476,291,1616
477,285,1616
478,295,1616
479,282,1616
480,280,1616
481,282,1616
482,283,1616
483,283,1616
484,286,1616
485,287,1616
486,286,1616
487,287,1616
488,287,1616
489,301,1616
490,305,1632
491,306,1632
492,340,1648
493,312,1648
494,297,1648
495,300,1648
496,329,1648
497,295,1648
498,296,1648
499,296,1648
500,299,1648
501,299,1648
502,300,1648
503,301,1648
504,292,1648
505,291,1648
506,294,1648
507,296,1648
508,294,1648
509,298,1648
510,297,1648
511,295,1648
512,297,1648
513,296,1648
514,295,1648
515,303,1648
516,308,1648
517,301,1648
518,300,1648
519,300,1648
520,301,1648
521,309,1648
522,315,1648
523,338,1648
524,327,1648
525,318,1648
526,332,1648
527,316,1648
528,315,1648
529,315,1648
530,317,1648
531,314,1648
532,317,1648
533,348,1664
534,316,1664
535,308,1664
536,308,1664
537,305,1664
538,306,1664
539,307,1664
540,308,1664
541,308,1664
542,309,1664
543,313,1664
544,314,1664
545,311,1664
546,313,1664
547,315,1664
548,317,1664
549,312,1664
550,314,1664
551,314,1664
552,317,1664
553,314,1664
554,330,1664
555,346,1664
556,366,1664
557,334,1664
558,335,1664
559,341,1664
560,339,1664
561,319,1664
562,322,1664
563,314,1664
564,315,1664
565,321,1664
566,315,1664
567,317,1664
568,319,1664
569,321,1664
570,319,1664
571,319,1664
572,322,1664
573,338,1664
574,332,1664
575,323,1664
576,323,1664
577,325,1664
578,327,1664
579,326,1664
580,331,1664
581,325,1664
582,329,1680
583,331,1680
584,331,1680
585,377,1680
586,369,1696
587,371,1696
588,365,1696
589,369,1696
590,367,1696
591,366,1696
592,381,1696
593,381,1696
594,381,1696
595,348,1696
596,336,1696
597,342,1696
598,339,1696
599,340,1696
600,340,1696
601,337,1696
602,350,1696
603,359,1696
604,360,1696
605,349,1696
606,341,1696
607,345,1696
608,378,1696
609,365,1696
610,374,1696
611,366,1696
612,397,1696
613,349,1696
614,347,1696
615,351,1696
616,368,1696
617,395,1696
618,382,1696
619,356,1696
620,372,1696
621,355,1696
622,358,1696
623,351,1696
624,351,1696
625,355,1696
626,358,1696
627,358,1696
628,376,1696
629,370,1696
630,397,1696
631,395,1712
632,363,1712
633,367,1712
634,363,1712
635,381,1712
636,378,1712
637,379,1712
638,385,1712
639,388,1712
640,380,1712
641,378,1712
642,381,1712
643,387,1712
644,385,1712
645,386,1712
646,385,1712
647,385,1712
648,384,1712
649,394,1712
650,388,1712
651,398,1712
652,411,1712
653,376,1712
654,375,1712
655,377,1712
656,374,1712
657,376,1712
658,375,1712
659,378,1712
660,385,1712
661,393,1712
662,415,1712
663,406,1712
664,416,1712
665,391,1712
666,381,1712
667,382,1712
668,381,1712
669,383,1712
670,396,1712
671,385,1712
672,390,1712
673,405,1712
674,424,1712
675,416,1712
676,409,1712
677,431,1712
678,414,1712
679,441,1712
680,419,1712
681,423,1712
682,415,1712
683,394,1712
684,393,1712
685,402,1712
686,409,1712
687,415,1712
688,415,1712
689,412,1712
690,413,1712
691,447,1712
692,426,1728
693,438,1728
694,401,1728
695,399,1728
696,403,1728
697,417,1728
698,414,1728
699,412,1728
700,409,1728
701,442,1728
702,410,1728
703,432,1728
704,412,1728
705,406,1728
706,414,1728
707,411,1728
708,408,1728
709,420,1728
710,412,1728
711,430,1728
712,429,1728
713,468,1728
714,421,1728
715,415,1728
716,419,1728
717,416,1728
718,411,1728
719,415,1728
720,413,1728
721,425,1728
722,417,1728
723,416,1728
724,420,1728
725,425,1728
726,423,1728
727,422,1728
728,418,1728
729,420,1728
730,424,1728
731,455,1728
732,421,1728
733,442,1728
734,425,1728
735,427,1728
736,429,1728
737,428,1728
738,429,1728
739,430,1728
740,447,1728
741,431,1728
742,431,1728
743,443,1728
744,437,1728
745,432,1728
746,435,1728
747,432,1728
748,435,1728
749,436,1728
750,444,1728
751,460,1728
752,518,1728
753,472,1728
754,477,1728
755,463,1728
756,472,1728
757,467,1728
758,457,1728
759,448,1728
760,442,1728
761,445,1728
762,444,1728
763,458,1728
764,463,1728
765,445,1728
766,450,1728
767,451,1728
768,505,1728
769,483,1728
770,451,1728
771,455,1728
772,454,1728
773,454,1728
774,469,1728
775,454,1728
776,458,1728
777,464,1728
778,479,1728
779,455,1728
780,457,1728
781,466,1728
782,475,1728
783,465,1728
784,465,1728
785,474,1728
786,469,1728
787,508,1728
788,477,1728
789,460,1728
790,475,1728
791,462,1728
792,459,1728
793,463,1728
794,463,1728
795,475,1728
796,466,1728
797,486,1744
798,465,1744
799,498,1744
800,469,1744
801,467,1744
802,473,1744
803,476,1744
804,476,1744
805,526,1744
806,516,1760
807,478,1760
808,502,1760
809,511,1760
810,525,1760
811,478,1760
812,476,1760
813,482,1760
814,507,1760
815,531,1776
816,487,1776
817,481,1776
818,484,1776
819,485,1776
820,496,1776
821,485,1776
822,499,1776
823,486,1776
824,516,1776
825,492,1776
826,510,1776
827,495,1776
828,502,1776
829,491,1776
830,492,1776
831,491,1776
832,509,1776
833,491,1776
834,492,1776
835,494,1776
836,497,1776
837,504,1776
838,537,1776
839,502,1776
840,502,1776
841,498,1776
842,498,1776
843,496,1776
844,503,1776
845,506,1776
846,502,1776
847,504,1776
848,500,1776
849,498,1776
850,502,1776
851,503,1776
852,501,1776
853,508,1776
854,510,1776
855,501,1776
856,506,1776
857,507,1776
858,508,1776
859,509,1776
860,508,1776
861,508,1776
862,513,1776
863,520,1776
864,510,1776
865,513,1776
866,515,1776
867,511,1776
868,511,1776
869,510,1776
870,513,1776
871,511,1776
872,517,1776
873,517,1776
874,515,1776
875,522,1776
876,534,1776
877,548,1776
878,529,1776
879,548,1776
880,531,1776
881,534,1776
882,552,1776
883,521,1776
884,532,1776
885,525,1776
886,552,1776
887,598,1776
888,587,1776
889,573,1776
890,596,1776
891,563,1776
892,570,1776
893,563,1776
894,562,1776
895,566,1776
896,610,1776
897,557,1776
898,562,1776
899,562,1776
900,567,1776
901,561,1776
902,578,1776
903,564,1776
904,570,1776
905,569,1776
906,580,1776
907,632,1776
908,661,1776
909,669,1776
910,589,1792
911,606,1792
912,598,1792
913,561,1792
914,664,1792
915,608,1792
916,558,1792
917,553,1792
918,569,1792
919,554,1792
920,551,1792
921,560,1792
922,582,1792
923,579,1792
924,594,1792
925,579,1792
926,570,1792
927,589,1792
928,661,1792
929,593,1840
930,600,1840
931,609,1840
932,628,1840
933,674,1840
934,657,1840
935,634,1840
936,619,1840
937,605,1840
938,592,1840
939,600,1840
940,633,1840
941,622,1840
942,648,1840
943,899,1840
944,1111,1888
945,2255,1984
946,1322,2048
947,1149,2064
948,2366,2080
949,1850,2096
950,1544,2112
951,1741,2128
952,1795,2128
953,1009,2128
954,9331,2128
955,3598,2128
956,1340,2128
957,3412,2128
958,1296,2128
959,1444,2128
960,1513,2128
961,1323,2144
962,1450,2144
963,2161,2144
964,1483,2144
965,1343,2144
966,1584,2144
967,1516,2144
968,670,2144
969,711,2144
970,682,2144
971,878,2144
972,718,2176
973,751,2176
974,875,2176
975,3771,2176
976,1730,2176
977,1806,2176
978,1582,2176
979,1887,2176
980,1201,2176
981,1346,2176
982,644,2176
983,618,2176
984,623,2176
985,623,2176
986,620,2176
987,627,2176
988,615,2176
989,631,2176
990,651,2176
991,668,2176
992,699,2176
993,615,2176
994,738,2176
995,1437,2176
996,1471,2176
997,1325,2192
998,1832,2192
999,2653,2192
1000,1347,2192
1001,901,2192
1002,646,2192
1003,634,2192
1004,634,2192
1005,640,2192
1006,640,2192
1007,704,2208
1008,675,2208
1009,682,2208
1010,739,2224
1011,867,2240
1012,691,2240
1013,926,2240
1014,735,2240
1015,690,2256
1016,670,2272
1017,704,2288
1018,683,2304
1019,652,2304
1020,630,2304
1021,882,2304
1022,628,2320
1023,633,2320
1024,636,2320
1025,635,2320
1026,623,2320
1027,639,2320
1028,684,2320
1029,654,2320
1030,659,2320
1031,705,2320
1032,684,2320
1033,676,2320
1034,675,2320
1035,676,2320
1036,681,2320
1037,688,2320
1038,689,2320
1039,664,2320
1040,685,2320
1041,684,2320
1042,688,2320
1043,748,2320
1044,686,2320
1045,669,2320
1046,649,2320
1047,637,2320
1048,635,2320
1049,636,2320
1050,640,2320
1051,640,2320
1052,643,2320
1053,643,2320
1054,654,2320
1055,661,2320
1056,646,2320
1057,639,2320
1058,646,2320
1059,643,2320
1060,710,2336
1061,671,2352
1062,685,2352
1063,656,2352
1064,649,2352
1065,658,2352
1066,661,2352
1067,655,2352
1068,709,2352
1069,670,2368
1070,656,2368
1071,670,2368
1072,663,2368
1073,657,2368
1074,709,2368
1075,662,2368
1076,668,2368
1077,655,2368
1078,652,2368
1079,659,2368
1080,687,2368
1081,661,2368
1082,668,2368
1083,665,2368
1084,673,2368
1085,661,2368
1086,663,2368
1087,681,2368
1088,665,2368
1089,676,2368
1090,673,2368
1091,665,2368
1092,676,2368
1093,693,2368
1094,677,2384
1095,692,2384
1096,696,2384
1097,673,2384
1098,689,2384
1099,670,2384
1100,672,2384
1101,693,2384
1102,681,2384
1103,680,2384
1104,685,2384
1105,700,2384
1106,676,2384
1107,679,2384
1108,690,2384
1109,714,2384
1110,695,2384
1111,688,2384
1112,680,2384
1113,696,2384
1114,686,2384
1115,683,2384
1116,692,2384
1117,714,2384
1118,717,2384
1119,701,2384
1120,688,2384
1121,717,2384
1122,720,2384
1123,710,2384
1124,704,2384
1125,691,2384
1126,694,2384
1127,689,2384
1128,688,2384
1129,713,2384
1130,704,2384
1131,692,2384
1132,698,2384
1133,692,2384
1134,698,2384
1135,706,2384
1136,696,2384
1137,726,2384
1138,694,2384
1139,696,2384
1140,699,2384
1141,719,2384
1142,701,2384
1143,742,2384
1144,700,2384
1145,700,2384
1146,701,2384
1147,708,2384
1148,712,2384
1149,714,2384
1150,705,2384
1151,719,2384
1152,748,2384
1153,747,2384
1154,716,2384
1155,710,2384
1156,724,2384
1157,718,2384
1158,714,2384
1159,709,2384
1160,725,2384
1161,721,2384
1162,712,2384
1163,714,2384
1164,734,2384
1165,720,2384
1166,721,2384
1167,723,2384
1168,718,2384
1169,763,2384
1170,773,2384
1171,800,2384
1172,753,2384
1173,733,2384
1174,720,2384
1175,738,2384
1176,721,2384
1177,730,2384
1178,741,2384
1179,771,2384
1180,770,2384
1181,732,2384
1182,727,2384
1183,727,2384
1184,740,2384
1185,844,2384
1186,774,2384
1187,735,2384
1188,735,2384
1189,737,2384
1190,730,2384
1191,762,2384
1192,732,2384
1193,734,2384
1194,752,2384
1195,746,2384
1196,743,2384
1197,794,2384
1198,756,2384
1199,776,2384
1200,763,2384
1201,758,2384
1202,766,2384
1203,774,2384
1204,760,2384
1205,741,2384
1206,756,2384
1207,756,2384
1208,773,2384
1209,754,2384
1210,751,2384
1211,770,2384
1212,753,2384
1213,777,2384
1214,771,2384
1215,769,2384
1216,783,2384
1217,830,2384
1218,780,2384
1219,826,2384
1220,799,2384
